2024-09-15 03:36:14.512 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2024-09-15 03:36:14.512 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:telligent-conversations t:] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2024-09-15 03:36:14.528 INFO  (searcherExecutor-15-thread-1-processing-telligent-conversations) [c: s: r: x:telligent-conversations t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2024-09-15 03:36:14.528 INFO  (searcherExecutor-14-thread-1-processing-telligent-content) [c: s: r: x:telligent-content t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2024-09-15 03:36:14.528 INFO  (searcherExecutor-14-thread-1-processing-telligent-content) [c: s: r: x:telligent-content t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: wordbreak
2024-09-15 03:36:14.528 INFO  (searcherExecutor-15-thread-1-processing-telligent-conversations) [c: s: r: x:telligent-conversations t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: wordbreak
2024-09-17 12:00:53.979 INFO  (qtp1358857082-25-localhost-1) [c: s: r: x:telligent-content t:localhost-1] o.a.s.c.S.Request webapp=/solr path=/schema/fields params={} status=0 QTime=67
2024-09-17 12:00:54.078 INFO  (qtp1358857082-19-localhost-2) [c: s: r: x:telligent-conversations t:localhost-2] o.a.s.c.S.Request webapp=/solr path=/schema/fields params={} status=0 QTime=3
2024-09-17 12:00:54.162 INFO  (qtp1358857082-20-localhost-3) [c: s: r: x:telligent-content t:localhost-3] o.a.s.c.S.Request webapp=/solr path=/schema/fields params={} status=0 QTime=0
2024-09-17 12:00:54.678 INFO  (qtp1358857082-22-localhost-4) [c: s: r: x:telligent-conversations t:localhost-4] o.a.s.c.S.Request webapp=/solr path=/schema/fields params={} status=0 QTime=0
